9,11,145
173,15,142
1,9,130
3,10,130
13,12,130
193,15,144
1,9,117
11,12,130
173,15,122
15,13,124
23,13,133
17,12,126
93,16,128
1,9,125
1,9,131
1,8,129
3,11,130
1,9,126
1,8,117
3,11,134
1,9,128
71,14,129
51,15,132
17,13,126
97,15,127
9,13,128
51,15,123
13,13,125
13,12,130
19,14,122
7,12,122
7,11,132
9,13,129
1,9,119
213,16,120
37,15,127
1,9,119
3,10,130
1,10,124
101,16,131
51,14,131
9,13,122
3,11,130
5,11,139
27,15,126
39,15,128
5,12,123
5,11,130
107,17,129
5,12,125
5,11,134
27,15,121
39,15,123
1,10,120
